kegg_id	smiles	formal_charge
C00025	N[C@@H](CCC(=O)O)C(=O)[O-]	-1
C00026	O=C(O)CCC(=O)C(=O)[O-]	-1
C00026	O=C([O-])CCC(=O)C(=O)[O-]	-2
C00026	O=C([O-])CCC(=O)C(=O)O	-1
C00032	C=CC1=C(C)/C2=C/c3c(C=C)c(C)c4n3[Fe]n3/c(c(C)c(CCC(=O)[O-])/c3=C/C3=N/C(=C\4)C(C)=C3CCC(=O)[O-])=C\C1=N2	-2
C00032	C=CC1=C(C)/C2=C/c3c(C=C)c(C)c4n3[Fe]n3/c(c(C)c(CCC(=O)[O-])/c3=C/C3=N/C(=C\4)C(C)=C3CCC(=O)O)=C\C1=N2	-1
C00032	C=CC1=C(C)/C2=C/c3c(C=C)c(C)c4n3[Fe]n3/c(c(C)c(CCC(=O)O)/c3=C/C3=N/C(=C\4)C(C)=C3CCC(=O)[O-])=C\C1=N2	-1
C00033	CC(=O)[O-]	-1
C00035	Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[n-]1	-1
C00035	Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)(O)OP(=O)([O-])O)[C@@H](O)[C@H]2O)c(=O)[n-]1	-2
C00035	[NH3+]c1[n-]c(=O)c2ncn([C@@H]3O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]3O)c2[nH+]1	1
C00035	Nc1[n-]c(=O)c2ncn([C@@H]3O[C@H](COP(=O)([O-])OP(=O)(O)O)[C@@H](O)[C@H]3O)c2[nH+]1	-1
C00035	Nc1[n-]c(=O)c2ncn([C@@H]3O[C@H](COP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]3O)c2[nH+]1	-2
C00035	[NH3+]c1nc2c(ncn2[C@@H]2O[C@H](COP(=O)([O-])OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[n-]1	-1
C00035	[NH3+]c1nc2c(ncn2[C@@H]2O[C@H](COP(=O)(O)OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[n-]1	-2
C00035	[NH3+]c1nc2c(ncn2[C@@H]2O[C@H](COP(=O)(O)OP(=O)([O-])O)[C@@H](O)[C@H]2O)c(=O)[n-]1	-1
C00035	Nc1[n-]c(=O)c2ncn([C@@H]3O[C@H](COP(=O)(O)OP(=O)([O-])O)[C@@H](O)[C@H]3O)c2[nH+]1	-1
C00035	[NH3+]c1[n-]c(=O)c2ncn([C@@H]3O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]3O)c2[nH+]1	-2
C00035	[NH3+]c1nc2c(ncn2[C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]2O)c(=O)[n-]1	-2
C00035	[NH3+]c1[n-]c(=O)c2ncn([C@@H]3O[C@H](COP(=O)(O)OP(=O)([O-])[O-])[C@@H](O)[C@H]3O)c2[nH+]1	-1
C00035	Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)([O-])OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[n-]1	-2
C00035	[NH3+]c1[n-]c(=O)c2ncn([C@@H]3O[C@H](COP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]3O)c2[nH+]1	-1
C00035	Nc1[n-]c(=O)c2ncn([C@@H]3O[C@H](COP(=O)(O)OP(=O)([O-])[O-])[C@@H](O)[C@H]3O)c2[nH+]1	-2
C00036	O=C([O-])CC(=O)C(=O)O	-1
C00036	O=C([O-])CC(=O)C(=O)[O-]	-2
C00036	O=C(O)CC(=O)C(=O)[O-]	-1
C00037	[NH3+]CC(=O)O	1
C00037	NCC(=O)[O-]	-1
C00038	[Zn+2]	2
C00041	C[C@H](N)C(=O)[O-]	-1
C00041	C[C@H]([NH3+])C(=O)O	1
C00042	O=C([O-])CCC(=O)O	-1
C00042	O=C([O-])CCC(=O)[O-]	-2
C00043	CC(=O)[N-][C@H]1[C@@H](OP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3ccc(=O)[n-]c3=O)[C@H](O)[C@@H]2O)O[C@H](CO)[C@@H](O)[C@@H]1O	-2
C00044	[NH3+]c1nc2c(ncn2[C@@H]2O[C@H](COP(=O)(O)OP(=O)([O-])OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[n-]1	-1
C00044	Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)([O-])O)[C@@H](O)[C@H]2O)c(=O)[n-]1	-2
C00044	Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)(O)OP(=O)([O-])OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[n-]1	-2
C00044	[NH3+]c1nc2c(ncn2[C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[n-]1	-2
C00044	[NH3+]c1nc2c(ncn2[C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)([O-])O)[C@@H](O)[C@H]2O)c(=O)[n-]1	-1
C00044	Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)([O-])OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[n-]1	-2
C00044	[NH3+]c1nc2c(ncn2[C@@H]2O[C@H](COP(=O)([O-])OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[n-]1	-1
