entry	smiles
C00357	CC(=O)N[C@H]1C(O)O[C@H](COP(=O)(O)O)[C@@H](O)[C@@H]1O
C00360	Nc1ncnc2c1ncn2[C@H]1C[C@H](O)[C@@H](COP(=O)(O)O)O1
C00361	Nc1nc2c(ncn2[C@H]2C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)O)O2)c(=O)[nH]1
C00362	Nc1nc2c(ncn2[C@H]2C[C@H](O)[C@@H](COP(=O)(O)O)O2)c(=O)[nH]1
C00363	Cc1cn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)O)O2)c(=O)[nH]c1=O
C00364	Cc1cn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)O)O2)c(=O)[nH]c1=O
C00365	O=c1ccn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)O)O2)c(=O)[nH]1
C00366	O=c1[nH]c(=O)c2[nH]c(=O)[nH]c2[nH]1
C00371	C/C(=C\CNc1ncnc2[nH]cnc12)CO
C00376	CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=O)C(C)(C)CCC1
C00378	Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1
C00379	OC[C@@H](O)[C@H](O)[C@@H](O)CO
C00380	Nc1cc[nH]c(=O)n1
C00381	CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C\CCC(C)CCO
C00383	O=C(O)CC(=O)O
C00385	O=c1[nH]c(=O)c2[nH]cnc2[nH]1
C00386	NCCC(=O)N[C@@H](Cc1c[nH]cn1)C(=O)O
C00387	Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1
C00388	NCCc1c[nH]cn1
C00389	O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12
C00390	COc1c(O)c(C)c(C/C=C(\C)CCC=C(C)C)c(O)c1OC
C00392	OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
C00394	Nc1nc2c(ncn2C2O[C@H](COP(=O)(O)OP(=O)(O)O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1
C00397	NC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H](N)C[C@@H]2N)[C@H](N)C[C@@H]1O
C00398	NCCc1c[nH]c2ccccc12
C00399	COC1=C(OC)C(=O)C(C/C=C(\C)CCC=C(C)C)=C(C)C1=O
C00400	CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O
C00402	N[C@H](CC(=O)O)C(=O)O
C00406	COc1cc(/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]2OP(=O)(O)O)ccc1O
C00407	CC[C@H](C)[C@H](N)C(=O)O
C00408	O=C(O)[C@@H]1CCCCN1
C00409	CS
C00410	CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
C00411	COc1cc(/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]2OP(=O)(O)O)cc(OC)c1O
