smiles_cation	kegg_id_cation	formal_charge_cation	smiles_anion	kegg_id_anion	formal_charge_anion	smiles_il	distance	commercial_il
C[N+]1=CCCC1	['C06178']	1	CC/C=C(\CCC)C(=O)[O-]	['C16653']	-1	C[N+]1=CCCC1.CC/C=C(\CCC)C(=O)[O-]	13.545588585297482	CCCCCCCC(=O)[O-].CCn1cc[n+](C)c1
C[N+]1=CCCC1	['C06178']	1	CC(C)CCCCCCC/C=C\C(=O)[O-]	['C18206']	-1	C[N+]1=CCCC1.CC(C)CCCCCCC/C=C\C(=O)[O-]	13.55888289584914	CCCCCCCC(=O)[O-].CCn1cc[n+](C)c1
C/C=C/[C@H]1CCC[C@@H](C)[NH2+]1	['C10165']	1	CCCCCCCC(=O)[O-]	['C06423']	-1	C/C=C/[C@H]1CCC[C@@H](C)[NH2+]1.CCCCCCCC(=O)[O-]	13.579563982115864	CCCCCCCC(=O)[O-].CCn1cc[n+](C)c1
C[N+]1=CCCC1	['C06178']	1	CC[C@](O)(C(C)=O)C(=O)[O-]	['C06006', 'C06006']	-1	C[N+]1=CCCC1.CC[C@](O)(C(C)=O)C(=O)[O-]	13.596274368914532	CCCCCCCC(=O)[O-].CCn1cc[n+](C)c1
C[N+]1=CCCC1	['C06178']	1	CCC([O-])CC(=O)C(=O)[O-]	['C06762']	-2	C[N+]1=CCCC1.C[N+]1=CCCC1.CCC([O-])CC(=O)C(=O)[O-]	13.625515089555872	CCCCCCCC(=O)[O-].CCn1cc[n+](C)c1
C[N+]1=CCCC1	['C06178']	1	CCCCCCCCCCCC(=O)[O-]	['C02679']	-1	C[N+]1=CCCC1.CCCCCCCCCCCC(=O)[O-]	13.640888144298337	CCCCCCCC(=O)[O-].CCn1cc[n+](C)c1
C[N+]1=CCCC1	['C06178']	1	O=C([O-])CCCCCO	['C06103', 'C06103']	-1	C[N+]1=CCCC1.O=C([O-])CCCCCO	13.645297376095035	CCCCCCCC(=O)[O-].CCn1cc[n+](C)c1
C[N+]1=CCCC1	['C06178']	1	O=C[O-]	['C00058']	-1	C[N+]1=CCCC1.O=C[O-]	13.189624695486694	CCn1cc[n+](C)c1.COC(=O)[O-]
C[N+]1=CCCC1	['C06178']	1	O=C(C[O-])C[O-]	['C00184']	-2	C[N+]1=CCCC1.C[N+]1=CCCC1.O=C(C[O-])C[O-]	13.273786178133394	CCn1cc[n+](C)c1.COC(=O)[O-]
C[N+]1=CCCC1	['C06178']	1	O=CCP(=O)([O-])[O-]	['C03167']	-2	C[N+]1=CCCC1.C[N+]1=CCCC1.O=CCP(=O)([O-])[O-]	13.296439913951401	CCn1cc[n+](C)c1.COC(=O)[O-]
C[N+]1=CCCC1	['C06178']	1	O=C([O-])[O-]	['C00288', 'C01353']	-2	C[N+]1=CCCC1.C[N+]1=CCCC1.O=C([O-])[O-]	13.303850837208154	CCn1cc[n+](C)c1.COC(=O)[O-]
C[N+]1=CCCC1	['C06178']	1	O=C[C@@H]([O-])C[O-]	['C02426']	-2	C[N+]1=CCCC1.C[N+]1=CCCC1.O=C[C@@H]([O-])C[O-]	13.425674391166158	CCn1cc[n+](C)c1.COC(=O)[O-]
C[N+]1=CCCC1	['C06178']	1	O=C[C@H]([O-])C[O-]	['C00577']	-2	C[N+]1=CCCC1.C[N+]1=CCCC1.O=C[C@H]([O-])C[O-]	13.425674391166158	CCn1cc[n+](C)c1.COC(=O)[O-]
C[N+]1=CCCC1	['C06178']	1	O=CC[O-]	['C00266']	-1	C[N+]1=CCCC1.O=CC[O-]	13.593747906723403	CCn1cc[n+](C)c1.COC(=O)[O-]
C[N+]1=CCCC1	['C06178']	1	CC(=O)C[O-]	['C05235']	-1	C[N+]1=CCCC1.CC(=O)C[O-]	13.638127404127488	CCn1cc[n+](C)c1.COC(=O)[O-]
C[N+]1=CCCC1	['C06178']	1	CN1CC(=O)[N-]C1=O	['C02565']	-1	C[N+]1=CCCC1.CN1CC(=O)[N-]C1=O	13.757724204877809	CCn1cc[n+](C)c1.COC(=O)[O-]
C[N+]1=CCCC1	['C06178']	1	[NH-]C=O	['C00488']	-1	C[N+]1=CCCC1.[NH-]C=O	13.808595838710696	CCn1cc[n+](C)c1.COC(=O)[O-]
C[N+]1=CCCC1	['C06178']	1	O=CCC[O-]	['C00969']	-1	C[N+]1=CCCC1.O=CCC[O-]	13.86177265620836	CCn1cc[n+](C)c1.COC(=O)[O-]
C[N+]1=CCCC1	['C06178']	1	O=C[C@@H]([O-])CO	['C02426']	-1	C[N+]1=CCCC1.O=C[C@@H]([O-])CO	13.942889655676145	CCn1cc[n+](C)c1.COC(=O)[O-]
C[N+]1=CCCC1	['C06178']	1	O=C[C@H]([O-])CO	['C00577']	-1	C[N+]1=CCCC1.O=C[C@H]([O-])CO	13.942889655676145	CCn1cc[n+](C)c1.COC(=O)[O-]
