smiles	kegg_id
CC(O)CC(=O)[O-]	['C01089', 'C01089']
CC(O)C[O-]	['C00583']
CC(O)c1ccc([O-])cc1	['C13638', 'C13638']
CC([O-])C(=O)CC(=O)C(=O)[O-]	['C20781']
CC([O-])C(=O)[O-]	['C00186', 'C00256']
CC([O-])C(C)O	['C03044', 'C03046', 'C20657']
CC([O-])C(C)[O-]	['C03044', 'C03046', 'C20657']
CC([O-])C=CCC=CCC=CCCCCCCCC(=O)[O-]	['C16346']
CC([O-])C=O	['C00424', 'C00937']
CC([O-])CC(=O)C(=O)[O-]	['C03589']
CC([O-])CC(=O)NC1CCOC1=O	['C11842', 'C21195']
CC([O-])CC(=O)OC(C)CC(=O)[O-]	['C04546']
CC([O-])CC(=O)[N-]C1CCOC1=O	['C11842', 'C21195']
CC([O-])CC(=O)[O-]	['C01089']
CC([O-])CN	['C03194']
CC([O-])CO	['C00583']
CC([O-])C[O-]	['C00583']
CC([O-])c1ccc([O-])cc1	['C13638']
CC([O-])c1ccccc1	['C11348']
CC1(C)C2CC(=O)C1(C)C([O-])C2	['C20322', 'C20323']
CC1(C)C2CC=C(C(=O)[O-])C1C2	['C11940']
CC1(C)C2CC=C(C[O-])C1C2	['C11938']
CC1(C)C2CCC1(C)C([O-])C2	['C01765']
CC1(C)CC2C=C(C(=O)[O-])C3COC(=O)C4(CO4)C23C1	['C20397']
CC1(C)CCCC2(C)C1CCC13CC(CCC12)C(C)([O-])C3	['C19817']
CC1(C)CCCC2(C)C1CCC1CC3CC12CCC3(C)[O-]	['C11890']
CC1(C)CCCC2=C1C1OC(=O)C(=C[O-])C1C2	['C18036']
CC1(C)OC2(C)CCC1CC2[O-]	['C03092']
CC1(C)SC2C(N)C(=O)N2C1C(=O)[O-]	['C02954']
CC1(CC(=O)[O-])C=CC(=O)O1	['C04559']
CC1(O)C(=O)[N-]c2ccccc21	['C05834']
CC1([O-])C(=O)Nc2ccccc21	['C05834']
CC1([O-])C(=O)[N-]c2ccccc21	['C05834']
CC12CC([O-])C(CC1=O)C2(C)C	['C03448', 'C22610']
CC12CCC(=O)C(CCC(=O)[O-])C1CCC2=O	['C20199']
CC12CCC(=O)C=C1CCC1C2CCC2(C)C([O-])CCC12	['C00535']
CC12CCC(C1)C(C)(C)C2[O-]	['C02344']
CC12CCC(O)CC1=CCC1C2CCC2(C)C([O-])CCC12	['C04295']
